X,Y,Z
0.001776585,0.315447,-2.11741
0.003402063,0.605534,-2.12161
0.004618271,0.883721,-2.11551
0.008060182,1.01611,-2.10585
0.1545984,0.762443,-2.12336
0.2955671,0.563435,-2.15642
0.4377149,0.403818,-2.13705
0.4850815,0.349004,-2.12889
-0.1372464,0.768711,-2.1113
-0.2947384,0.59462,-2.1277
-0.4307541,0.43379,-2.09881
-0.4863446,0.365929,-2.08088
0.06753663,0.309929,-2.08924
0.08403926,-0.0616499,-2.09053
0.08353471,-0.422492,-2.13941
0.1027626,-0.517628,-2.05831
-0.06403249,0.310919,-2.07733
-0.0937808,-0.0767669,-2.07754
-0.1020817,-0.417552,-2.1375
-0.1003958,-0.501787,-2.03274
0.004341211,0.815831,-2.1189
0.5441389,0.287375,-2.13783
0.5028025,0.356299,-2.12569
-0.5335881,0.305272,-2.0566
-0.5167508,0.310745,-2.07616
0.464305,-0.548253,-1.71195
0.464844,-0.548392,-1.71143
0.464844,-0.547718,-1.71181
0.472656,-0.548615,-1.7106
0.472656,-0.546902,-1.71159
0.363281,-0.557233,-1.70862
0.36101,-0.557821,-1.70643
0.363281,-0.555627,-1.70584
0.363281,-0.561199,-1.70733
0.0195313,-0.571663,-1.71514
0.0157993,-0.572913,-1.71047
0.0195313,-0.569309,-1.7095
0.0265819,-0.572913,-1.71047
0.408409,-0.570891,-1.71802
0.410156,-0.570963,-1.71775
0.410156,-0.570608,-1.71794
0.4104,-0.570891,-1.71802
0.464844,-0.54811,-1.71248
0.472656,-0.547816,-1.71358
0.476413,-0.548253,-1.71195
0.464844,-0.549531,-1.71229
0.472656,-0.549603,-1.71231
0.488281,-0.555096,-1.7166
0.485092,-0.555799,-1.71397
0.488281,-0.552536,-1.7131
0.496094,-0.554635,-1.71366
0.496094,-0.555179,-1.71629
0.410156,-0.570828,-1.71825
0.480469,-0.560876,-1.72521
0.478574,-0.561323,-1.72354
0.480469,-0.55944,-1.72304
0.394531,-0.56825,-1.72787
